"Time (CET)","Day-ahead Total Load Forecast [MW] - Greece (GR)","Actual Total Load [MW] - Greece (GR)"
"13.09.2018 12:00 - 13.09.2018 13:00","7081","6873"
"13.09.2018 13:00 - 13.09.2018 14:00","6861","6676"
"13.09.2018 14:00 - 13.09.2018 15:00","6530","6320"
"13.09.2018 15:00 - 13.09.2018 16:00","6385","6112"
"13.09.2018 16:00 - 13.09.2018 17:00","6280","6118"
"13.09.2018 17:00 - 13.09.2018 18:00","6309","6184"
"13.09.2018 18:00 - 13.09.2018 19:00","6509","6328"
"13.09.2018 19:00 - 13.09.2018 20:00","6935","6756"
"13.09.2018 20:00 - 13.09.2018 21:00","6554","6353"
"13.09.2018 21:00 - 13.09.2018 22:00","5935","5773"
"13.09.2018 22:00 - 13.09.2018 23:00","5595","5476"
"13.09.2018 23:00 - 14.09.2018 00:00","5025","5045"
"14.09.2018 00:00 - 14.09.2018 01:00","4725","4778"
"14.09.2018 01:00 - 14.09.2018 02:00","4535","4642"
"14.09.2018 02:00 - 14.09.2018 03:00","4435","4556"
"14.09.2018 03:00 - 14.09.2018 04:00","4405","4550"
"14.09.2018 04:00 - 14.09.2018 05:00","4474","4626"
"14.09.2018 05:00 - 14.09.2018 06:00","4804","4942"
"14.09.2018 06:00 - 14.09.2018 07:00","5265","5354"
"14.09.2018 07:00 - 14.09.2018 08:00","5817","5901"
"14.09.2018 08:00 - 14.09.2018 09:00","6313","6305"
"14.09.2018 09:00 - 14.09.2018 10:00","6633","6591"
"14.09.2018 10:00 - 14.09.2018 11:00","6814","6797"
"14.09.2018 11:00 - 14.09.2018 12:00","6938","6910"
"14.09.2018 12:00 - 14.09.2018 13:00","6970","6867"
"14.09.2018 13:00 - 14.09.2018 14:00","6759","6648"
"14.09.2018 14:00 - 14.09.2018 15:00","6398","6298"
"14.09.2018 15:00 - 14.09.2018 16:00","6219","6085"
"14.09.2018 16:00 - 14.09.2018 17:00","6162","6096"
"14.09.2018 17:00 - 14.09.2018 18:00","6243","6173"
"14.09.2018 18:00 - 14.09.2018 19:00","6460","6364"
"14.09.2018 19:00 - 14.09.2018 20:00","6855","6755"
"14.09.2018 20:00 - 14.09.2018 21:00","6474","6308"
"14.09.2018 21:00 - 14.09.2018 22:00","5945","5802"
"14.09.2018 22:00 - 14.09.2018 23:00","5575","5557"
"14.09.2018 23:00 - 15.09.2018 00:00","5116","5203"
"15.09.2018 00:00 - 15.09.2018 01:00","4805","4944"
"15.09.2018 01:00 - 15.09.2018 02:00","4605","4748"
"15.09.2018 02:00 - 15.09.2018 03:00","4496","4652"
"15.09.2018 03:00 - 15.09.2018 04:00","4436","4603"
"15.09.2018 04:00 - 15.09.2018 05:00","4484","4615"
"15.09.2018 05:00 - 15.09.2018 06:00","4594","4744"
"15.09.2018 06:00 - 15.09.2018 07:00","4795","4795"
"15.09.2018 07:00 - 15.09.2018 08:00","5233","5313"
"15.09.2018 08:00 - 15.09.2018 09:00","5764","5859"
"15.09.2018 09:00 - 15.09.2018 10:00","6098","6223"
"15.09.2018 10:00 - 15.09.2018 11:00","6309","6455"
"15.09.2018 11:00 - 15.09.2018 12:00","6464","6623"
"15.09.2018 12:00 - 15.09.2018 13:00","6479","6650"
"15.09.2018 13:00 - 15.09.2018 14:00","6254","6349"
"15.09.2018 14:00 - 15.09.2018 15:00","5978","5996"
"15.09.2018 15:00 - 15.09.2018 16:00","5825","5870"
"15.09.2018 16:00 - 15.09.2018 17:00","5861","5860"
"15.09.2018 17:00 - 15.09.2018 18:00","5946","5868"
"15.09.2018 18:00 - 15.09.2018 19:00","6175","6063"
"15.09.2018 19:00 - 15.09.2018 20:00","6404","6485"
"15.09.2018 20:00 - 15.09.2018 21:00","6184","6161"
"15.09.2018 21:00 - 15.09.2018 22:00","5703","5750"
"15.09.2018 22:00 - 15.09.2018 23:00","5345","5376"
"15.09.2018 23:00 - 16.09.2018 00:00","4961","4998"
"16.09.2018 00:00 - 16.09.2018 01:00","4691","4731"
"16.09.2018 01:00 - 16.09.2018 02:00","4491","4510"
"16.09.2018 02:00 - 16.09.2018 03:00","4371","4302"
"16.09.2018 03:00 - 16.09.2018 04:00","4291","4255"
"16.09.2018 04:00 - 16.09.2018 05:00","4281","4295"
"16.09.2018 05:00 - 16.09.2018 06:00","4349","4299"
"16.09.2018 06:00 - 16.09.2018 07:00","4385","4259"
"16.09.2018 07:00 - 16.09.2018 08:00","4734","4641"
"16.09.2018 08:00 - 16.09.2018 09:00","5157","5077"
"16.09.2018 09:00 - 16.09.2018 10:00","5541","5517"
"16.09.2018 10:00 - 16.09.2018 11:00","5894","5857"
"16.09.2018 11:00 - 16.09.2018 12:00","6083","6103"
"16.09.2018 12:00 - 16.09.2018 13:00","6070","6058"
"16.09.2018 13:00 - 16.09.2018 14:00","5792","5742"
"16.09.2018 14:00 - 16.09.2018 15:00","5489","5472"
"16.09.2018 15:00 - 16.09.2018 16:00","5371","5346"
"16.09.2018 16:00 - 16.09.2018 17:00","5385","5430"
"16.09.2018 17:00 - 16.09.2018 18:00","5499","5450"
"16.09.2018 18:00 - 16.09.2018 19:00","5719","5679"
"16.09.2018 19:00 - 16.09.2018 20:00","6191","6323"
"16.09.2018 20:00 - 16.09.2018 21:00","6000","6028"
"16.09.2018 21:00 - 16.09.2018 22:00","5671","5602"
"16.09.2018 22:00 - 16.09.2018 23:00","5301","5274"
"16.09.2018 23:00 - 17.09.2018 00:00","4874","4828"
"17.09.2018 00:00 - 17.09.2018 01:00","4573","4527"
"17.09.2018 01:00 - 17.09.2018 02:00","4383","4322"
"17.09.2018 02:00 - 17.09.2018 03:00","4303","4204"
"17.09.2018 03:00 - 17.09.2018 04:00","4273","4196"
"17.09.2018 04:00 - 17.09.2018 05:00","4373","4261"
"17.09.2018 05:00 - 17.09.2018 06:00","4712","4636"
"17.09.2018 06:00 - 17.09.2018 07:00","5136","5106"
"17.09.2018 07:00 - 17.09.2018 08:00","5714","5735"
"17.09.2018 08:00 - 17.09.2018 09:00","6197","6277"
"17.09.2018 09:00 - 17.09.2018 10:00","6455","6511"
"17.09.2018 10:00 - 17.09.2018 11:00","6662","6723"
"17.09.2018 11:00 - 17.09.2018 12:00","6809","6863"
"17.09.2018 12:00 - 17.09.2018 13:00","6843","6916"
"17.09.2018 13:00 - 17.09.2018 14:00","6667","6723"
"17.09.2018 14:00 - 17.09.2018 15:00","6347","6358"
"17.09.2018 15:00 - 17.09.2018 16:00","6103","6156"
"17.09.2018 16:00 - 17.09.2018 17:00","6035","6064"
"17.09.2018 17:00 - 17.09.2018 18:00","6063","6079"
"17.09.2018 18:00 - 17.09.2018 19:00","6344","6313"
"17.09.2018 19:00 - 17.09.2018 20:00","6724","6717"
"17.09.2018 20:00 - 17.09.2018 21:00","6344","6320"
"17.09.2018 21:00 - 17.09.2018 22:00","5754","5729"
"17.09.2018 22:00 - 17.09.2018 23:00","5404","5414"
"17.09.2018 23:00 - 18.09.2018 00:00","5048","5003"
"18.09.2018 00:00 - 18.09.2018 01:00","4728","4737"
"18.09.2018 01:00 - 18.09.2018 02:00","4539","4574"
"18.09.2018 02:00 - 18.09.2018 03:00","4429","4489"
"18.09.2018 03:00 - 18.09.2018 04:00","4408","4450"
"18.09.2018 04:00 - 18.09.2018 05:00","4519","4513"
"18.09.2018 05:00 - 18.09.2018 06:00","4849","4873"
"18.09.2018 06:00 - 18.09.2018 07:00","5308","5287"
"18.09.2018 07:00 - 18.09.2018 08:00","5847","5861"
"18.09.2018 08:00 - 18.09.2018 09:00","6354","6364"
"18.09.2018 09:00 - 18.09.2018 10:00","6647","6619"
"18.09.2018 10:00 - 18.09.2018 11:00","6845","6804"
"18.09.2018 11:00 - 18.09.2018 12:00","7000","6860"
"18.09.2018 12:00 - 18.09.2018 13:00","6962","6854"
"18.09.2018 13:00 - 18.09.2018 14:00","6696","6578"
"18.09.2018 14:00 - 18.09.2018 15:00","6339","6222"
"18.09.2018 15:00 - 18.09.2018 16:00","6122","6019"
"18.09.2018 16:00 - 18.09.2018 17:00","6081","6033"
"18.09.2018 17:00 - 18.09.2018 18:00","6154","6112"
"18.09.2018 18:00 - 18.09.2018 19:00","6386","6359"
"18.09.2018 19:00 - 18.09.2018 20:00","6828","6781"
"18.09.2018 20:00 - 18.09.2018 21:00","6388","6264"
"18.09.2018 21:00 - 18.09.2018 22:00","5788","5661"
"18.09.2018 22:00 - 18.09.2018 23:00","5428","5344"
"18.09.2018 23:00 - 19.09.2018 00:00","5044","4934"
"19.09.2018 00:00 - 19.09.2018 01:00","4754","4682"
"19.09.2018 01:00 - 19.09.2018 02:00","4574","4508"
"19.09.2018 02:00 - 19.09.2018 03:00","4483","4399"
"19.09.2018 03:00 - 19.09.2018 04:00","4453","4385"
"19.09.2018 04:00 - 19.09.2018 05:00","4522","4480"
"19.09.2018 05:00 - 19.09.2018 06:00","4913","4813"
"19.09.2018 06:00 - 19.09.2018 07:00","5382","5262"
"19.09.2018 07:00 - 19.09.2018 08:00","5963","5793"
"19.09.2018 08:00 - 19.09.2018 09:00","6444","6294"
"19.09.2018 09:00 - 19.09.2018 10:00","6700","6562"
"19.09.2018 10:00 - 19.09.2018 11:00","6892","6710"
"19.09.2018 11:00 - 19.09.2018 12:00","7015","6802"
"19.09.2018 12:00 - 19.09.2018 13:00","7031","6731"
"19.09.2018 13:00 - 19.09.2018 14:00","6831","6496"
"19.09.2018 14:00 - 19.09.2018 15:00","6443","6163"
"19.09.2018 15:00 - 19.09.2018 16:00","6209","5943"
"19.09.2018 16:00 - 19.09.2018 17:00","6106","5922"
"19.09.2018 17:00 - 19.09.2018 18:00","6149","6028"
"19.09.2018 18:00 - 19.09.2018 19:00","6368","6288"
"19.09.2018 19:00 - 19.09.2018 20:00","6773","6580"
"19.09.2018 20:00 - 19.09.2018 21:00","6363","6164"
"19.09.2018 21:00 - 19.09.2018 22:00","5783","5586"
"19.09.2018 22:00 - 19.09.2018 23:00","5454","5247"
"19.09.2018 23:00 - 20.09.2018 00:00","4977","4812"
"20.09.2018 00:00 - 20.09.2018 01:00","4656","4568"
"20.09.2018 01:00 - 20.09.2018 02:00","4486","4423"
"20.09.2018 02:00 - 20.09.2018 03:00","4406","4363"
"20.09.2018 03:00 - 20.09.2018 04:00","4386","4352"
"20.09.2018 04:00 - 20.09.2018 05:00","4495","4439"
"20.09.2018 05:00 - 20.09.2018 06:00","4845","4769"
"20.09.2018 06:00 - 20.09.2018 07:00","5348","5197"
"20.09.2018 07:00 - 20.09.2018 08:00","5913","5814"
"20.09.2018 08:00 - 20.09.2018 09:00","6396","6238"
"20.09.2018 09:00 - 20.09.2018 10:00","6665","6548"
"20.09.2018 10:00 - 20.09.2018 11:00","6859","6748"
"20.09.2018 11:00 - 20.09.2018 12:00","6984","6826"
"20.09.2018 12:00 - 20.09.2018 13:00","6921","6786"
"20.09.2018 13:00 - 20.09.2018 14:00","6647","6526"
"20.09.2018 14:00 - 20.09.2018 15:00","6307","6170"
"20.09.2018 15:00 - 20.09.2018 16:00","6109","5990"
"20.09.2018 16:00 - 20.09.2018 17:00","6053","6013"
"20.09.2018 17:00 - 20.09.2018 18:00","6142","6134"
"20.09.2018 18:00 - 20.09.2018 19:00","6424","6399"
"20.09.2018 19:00 - 20.09.2018 20:00","6807","6714"
"20.09.2018 20:00 - 20.09.2018 21:00","6316","6201"
"20.09.2018 21:00 - 20.09.2018 22:00","5706","5595"
"20.09.2018 22:00 - 20.09.2018 23:00","5387","5286"
"20.09.2018 23:00 - 21.09.2018 00:00","4929","4858"
"21.09.2018 00:00 - 21.09.2018 01:00","4619","4617"
"21.09.2018 01:00 - 21.09.2018 02:00","4449","4439"
"21.09.2018 02:00 - 21.09.2018 03:00","4389","4312"
"21.09.2018 03:00 - 21.09.2018 04:00","4369","4299"
"21.09.2018 04:00 - 21.09.2018 05:00","4479","4374"
"21.09.2018 05:00 - 21.09.2018 06:00","4809","4719"
"21.09.2018 06:00 - 21.09.2018 07:00","5250","5123"
"21.09.2018 07:00 - 21.09.2018 08:00","5785","5723"
"21.09.2018 08:00 - 21.09.2018 09:00","6232","6215"
"21.09.2018 09:00 - 21.09.2018 10:00","6501","6423"
"21.09.2018 10:00 - 21.09.2018 11:00","6684","6562"
"21.09.2018 11:00 - 21.09.2018 12:00","6781","6695"
"21.09.2018 12:00 - 21.09.2018 13:00","6772","6664"
"21.09.2018 13:00 - 21.09.2018 14:00","6564","6448"
"21.09.2018 14:00 - 21.09.2018 15:00","6223","6191"
"21.09.2018 15:00 - 21.09.2018 16:00","6010","6018"
"21.09.2018 16:00 - 21.09.2018 17:00","5953","6037"
"21.09.2018 17:00 - 21.09.2018 18:00","6044","6120"
"21.09.2018 18:00 - 21.09.2018 19:00","6392","6397"
"21.09.2018 19:00 - 21.09.2018 20:00","6721","6703"
"21.09.2018 20:00 - 21.09.2018 21:00","6320","6201"
"21.09.2018 21:00 - 21.09.2018 22:00","5700","5613"
"21.09.2018 22:00 - 21.09.2018 23:00","5370","5351"
"21.09.2018 23:00 - 22.09.2018 00:00","4866","4962"
"22.09.2018 00:00 - 22.09.2018 01:00","4616","4737"
"22.09.2018 01:00 - 22.09.2018 02:00","4436","4574"
"22.09.2018 02:00 - 22.09.2018 03:00","4306","4481"
"22.09.2018 03:00 - 22.09.2018 04:00","4286","4417"
"22.09.2018 04:00 - 22.09.2018 05:00","4365","4459"
"22.09.2018 05:00 - 22.09.2018 06:00","4475","4564"
"22.09.2018 06:00 - 22.09.2018 07:00","4650","4651"
"22.09.2018 07:00 - 22.09.2018 08:00","5156","5150"
"22.09.2018 08:00 - 22.09.2018 09:00","5603","5696"
"22.09.2018 09:00 - 22.09.2018 10:00","5912","6065"
"22.09.2018 10:00 - 22.09.2018 11:00","6211","6373"
"22.09.2018 11:00 - 22.09.2018 12:00","6365","6577"
"22.09.2018 12:00 - 22.09.2018 13:00","6368","6593"
"22.09.2018 13:00 - 22.09.2018 14:00","6160","6324"
"22.09.2018 14:00 - 22.09.2018 15:00","5817","5962"
"22.09.2018 15:00 - 22.09.2018 16:00","5603","5835"
"22.09.2018 16:00 - 22.09.2018 17:00","5628","5835"
"22.09.2018 17:00 - 22.09.2018 18:00","5653","5901"
"22.09.2018 18:00 - 22.09.2018 19:00","6018","6214"
"22.09.2018 19:00 - 22.09.2018 20:00","6278","6478"
"22.09.2018 20:00 - 22.09.2018 21:00","5977","6082"
"22.09.2018 21:00 - 22.09.2018 22:00","5577","5639"
"22.09.2018 22:00 - 22.09.2018 23:00","5177","5272"
"22.09.2018 23:00 - 23.09.2018 00:00","4857","4907"
"23.09.2018 00:00 - 23.09.2018 01:00","4596","4647"
"23.09.2018 01:00 - 23.09.2018 02:00","4426","4460"
"23.09.2018 02:00 - 23.09.2018 03:00","4286","4323"
"23.09.2018 03:00 - 23.09.2018 04:00","4206","4261"
"23.09.2018 04:00 - 23.09.2018 05:00","4226","4232"
"23.09.2018 05:00 - 23.09.2018 06:00","4295","4242"
"23.09.2018 06:00 - 23.09.2018 07:00","4329","4249"
"23.09.2018 07:00 - 23.09.2018 08:00","4647","4602"
"23.09.2018 08:00 - 23.09.2018 09:00","5042","5039"
"23.09.2018 09:00 - 23.09.2018 10:00","5508","5450"
"23.09.2018 10:00 - 23.09.2018 11:00","5813","5773"
"23.09.2018 11:00 - 23.09.2018 12:00","6018","5982"
"23.09.2018 12:00 - 23.09.2018 13:00","5937","5904"
"23.09.2018 13:00 - 23.09.2018 14:00","5609","5603"
"23.09.2018 14:00 - 23.09.2018 15:00","5335","5285"
"23.09.2018 15:00 - 23.09.2018 16:00","5276","5218"
"23.09.2018 16:00 - 23.09.2018 17:00","5321","5285"
"23.09.2018 17:00 - 23.09.2018 18:00","5419","5411"
"23.09.2018 18:00 - 23.09.2018 19:00","5767","5763"
"23.09.2018 19:00 - 23.09.2018 20:00","6228","6103"
"23.09.2018 20:00 - 23.09.2018 21:00","6027","5919"
"23.09.2018 21:00 - 23.09.2018 22:00","5607","5521"
"23.09.2018 22:00 - 23.09.2018 23:00","5258","5147"
"23.09.2018 23:00 - 24.09.2018 00:00","4808","4774"
"24.09.2018 00:00 - 24.09.2018 01:00","4498","4508"
"24.09.2018 01:00 - 24.09.2018 02:00","4327","4344"
"24.09.2018 02:00 - 24.09.2018 03:00","4247","4261"
"24.09.2018 03:00 - 24.09.2018 04:00","4216","4263"
"24.09.2018 04:00 - 24.09.2018 05:00","4326","4335"
"24.09.2018 05:00 - 24.09.2018 06:00","4686","4699"
"24.09.2018 06:00 - 24.09.2018 07:00","5152","5140"
"24.09.2018 07:00 - 24.09.2018 08:00","5712","5708"
"24.09.2018 08:00 - 24.09.2018 09:00","6231","6205"
"24.09.2018 09:00 - 24.09.2018 10:00","6486","6462"
"24.09.2018 10:00 - 24.09.2018 11:00","6689","6656"
"24.09.2018 11:00 - 24.09.2018 12:00","6830","6850"
"24.09.2018 12:00 - 24.09.2018 13:00","6904","6927"
"24.09.2018 13:00 - 24.09.2018 14:00","6751","6734"
"24.09.2018 14:00 - 24.09.2018 15:00","6418","6412"
"24.09.2018 15:00 - 24.09.2018 16:00","6192","6192"
"24.09.2018 16:00 - 24.09.2018 17:00","6090","6113"
"24.09.2018 17:00 - 24.09.2018 18:00","6160","6100"
"24.09.2018 18:00 - 24.09.2018 19:00","6515","6425"
"24.09.2018 19:00 - 24.09.2018 20:00","6829","6808"
"24.09.2018 20:00 - 24.09.2018 21:00","6390","6320"
"24.09.2018 21:00 - 24.09.2018 22:00","5800","5720"
"24.09.2018 22:00 - 24.09.2018 23:00","5448","5351"
"24.09.2018 23:00 - 25.09.2018 00:00","4971","4903"
"25.09.2018 00:00 - 25.09.2018 01:00","4671","4568"
"25.09.2018 01:00 - 25.09.2018 02:00","4451","4412"
"25.09.2018 02:00 - 25.09.2018 03:00","4351","4310"
"25.09.2018 03:00 - 25.09.2018 04:00","4330","4280"
"25.09.2018 04:00 - 25.09.2018 05:00","4400","4331"
"25.09.2018 05:00 - 25.09.2018 06:00","4750","4682"
"25.09.2018 06:00 - 25.09.2018 07:00","5165","5084"
"25.09.2018 07:00 - 25.09.2018 08:00","5646","5506"
"25.09.2018 08:00 - 25.09.2018 09:00","6058","6017"
"25.09.2018 09:00 - 25.09.2018 10:00","6337","6265"
"25.09.2018 10:00 - 25.09.2018 11:00","6548","6431"
"25.09.2018 11:00 - 25.09.2018 12:00","6642","6439"
"25.09.2018 12:00 - 25.09.2018 13:00","6587","6288"
"25.09.2018 13:00 - 25.09.2018 14:00","6244","5946"
"25.09.2018 14:00 - 25.09.2018 15:00","5859","5538"
"25.09.2018 15:00 - 25.09.2018 16:00","5630","5388"
"25.09.2018 16:00 - 25.09.2018 17:00","5653","5388"
"25.09.2018 17:00 - 25.09.2018 18:00","5836","5496"
"25.09.2018 18:00 - 25.09.2018 19:00","6196","5994"
"25.09.2018 19:00 - 25.09.2018 20:00","6431","6300"
"25.09.2018 20:00 - 25.09.2018 21:00","6052","5858"
"25.09.2018 21:00 - 25.09.2018 22:00","5462","5229"
"25.09.2018 22:00 - 25.09.2018 23:00","5111","4886"
"25.09.2018 23:00 - 26.09.2018 00:00","4712","4493"
"26.09.2018 00:00 - 26.09.2018 01:00","4402","4252"
"26.09.2018 01:00 - 26.09.2018 02:00","4232","4091"
"26.09.2018 02:00 - 26.09.2018 03:00","4152","3997"
"26.09.2018 03:00 - 26.09.2018 04:00","4141","4003"
"26.09.2018 04:00 - 26.09.2018 05:00","4241","4085"
"26.09.2018 05:00 - 26.09.2018 06:00","4591","4447"
"26.09.2018 06:00 - 26.09.2018 07:00","5050","4904"
"26.09.2018 07:00 - 26.09.2018 08:00","5584","5386"
"26.09.2018 08:00 - 26.09.2018 09:00","5995","5824"
"26.09.2018 09:00 - 26.09.2018 10:00","6170","5974"
"26.09.2018 10:00 - 26.09.2018 11:00","6253","6039"
"26.09.2018 11:00 - 26.09.2018 12:00","6326","5981"
"26.09.2018 12:00 - 26.09.2018 13:00","6251","5899"
"26.09.2018 13:00 - 26.09.2018 14:00","6017","5656"
"26.09.2018 14:00 - 26.09.2018 15:00","5677","5380"
"26.09.2018 15:00 - 26.09.2018 16:00","5470","5212"
"26.09.2018 16:00 - 26.09.2018 17:00","5487","5157"
"26.09.2018 17:00 - 26.09.2018 18:00","5628","5270"
"26.09.2018 18:00 - 26.09.2018 19:00","6048","5772"
"26.09.2018 19:00 - 26.09.2018 20:00","6432","6089"
"26.09.2018 20:00 - 26.09.2018 21:00","5993","5728"
"26.09.2018 21:00 - 26.09.2018 22:00","5413","5108"
"26.09.2018 22:00 - 26.09.2018 23:00","5073","4794"
"26.09.2018 23:00 - 27.09.2018 00:00","4481","4415"
"27.09.2018 00:00 - 27.09.2018 01:00","4231","4196"
"27.09.2018 01:00 - 27.09.2018 02:00","4061","4097"
"27.09.2018 02:00 - 27.09.2018 03:00","3970","4024"
"27.09.2018 03:00 - 27.09.2018 04:00","3970","4029"
"27.09.2018 04:00 - 27.09.2018 05:00","4070","4160"
"27.09.2018 05:00 - 27.09.2018 06:00","4480","4493"
"27.09.2018 06:00 - 27.09.2018 07:00","5032","4934"
"27.09.2018 07:00 - 27.09.2018 08:00","5552","5338"
"27.09.2018 08:00 - 27.09.2018 09:00","5963","5703"
"27.09.2018 09:00 - 27.09.2018 10:00","6121","5919"
"27.09.2018 10:00 - 27.09.2018 11:00","6232","6031"
"27.09.2018 11:00 - 27.09.2018 12:00","6295","6026"
"27.09.2018 12:00 - 27.09.2018 13:00","6210","5922"
"27.09.2018 13:00 - 27.09.2018 14:00","5919","5656"
"27.09.2018 14:00 - 27.09.2018 15:00","5561","5360"
"27.09.2018 15:00 - 27.09.2018 16:00","5348","5225"
"27.09.2018 16:00 - 27.09.2018 17:00","5314","5294"
"27.09.2018 17:00 - 27.09.2018 18:00","5496","5452"
"27.09.2018 18:00 - 27.09.2018 19:00","5966","5904"
"27.09.2018 19:00 - 27.09.2018 20:00","6321","6199"
"27.09.2018 20:00 - 27.09.2018 21:00","5902","5813"
"27.09.2018 21:00 - 27.09.2018 22:00","5272","5242"
"27.09.2018 22:00 - 27.09.2018 23:00","4932","4930"
"27.09.2018 23:00 - 28.09.2018 00:00","4556","4509"
"28.09.2018 00:00 - 28.09.2018 01:00","4266","4249"
"28.09.2018 01:00 - 28.09.2018 02:00","4096","4092"
"28.09.2018 02:00 - 28.09.2018 03:00","4025","4020"
"28.09.2018 03:00 - 28.09.2018 04:00","4035","4007"
"28.09.2018 04:00 - 28.09.2018 05:00","4164","4130"
"28.09.2018 05:00 - 28.09.2018 06:00","4515","4476"
"28.09.2018 06:00 - 28.09.2018 07:00","5011","4828"
"28.09.2018 07:00 - 28.09.2018 08:00","5483","5366"
"28.09.2018 08:00 - 28.09.2018 09:00","5889","5752"
"28.09.2018 09:00 - 28.09.2018 10:00","6187","5984"
"28.09.2018 10:00 - 28.09.2018 11:00","6371","6039"
"28.09.2018 11:00 - 28.09.2018 12:00","6380","6021"
"28.09.2018 12:00 - 28.09.2018 13:00","6212","5947"
"28.09.2018 13:00 - 28.09.2018 14:00","5875","5724"
"28.09.2018 14:00 - 28.09.2018 15:00","5421","5465"
"28.09.2018 15:00 - 28.09.2018 16:00","5291","5322"
"28.09.2018 16:00 - 28.09.2018 17:00","5360","5324"
"28.09.2018 17:00 - 28.09.2018 18:00","5534","5581"
"28.09.2018 18:00 - 28.09.2018 19:00","6037","5989"
"28.09.2018 19:00 - 28.09.2018 20:00","6325","6197"
"28.09.2018 20:00 - 28.09.2018 21:00","5906","5815"
"28.09.2018 21:00 - 28.09.2018 22:00","5295","5291"
"28.09.2018 22:00 - 28.09.2018 23:00","4976","5027"
"28.09.2018 23:00 - 29.09.2018 00:00","4571","4647"
"29.09.2018 00:00 - 29.09.2018 01:00","4271","4357"
"29.09.2018 01:00 - 29.09.2018 02:00","4101","4177"
"29.09.2018 02:00 - 29.09.2018 03:00","4020","4080"
"29.09.2018 03:00 - 29.09.2018 04:00","3990","4053"
"29.09.2018 04:00 - 29.09.2018 05:00","4060","4117"
"29.09.2018 05:00 - 29.09.2018 06:00","4200","4279"
"29.09.2018 06:00 - 29.09.2018 07:00","4438","4421"
"29.09.2018 07:00 - 29.09.2018 08:00","4901","4930"
"29.09.2018 08:00 - 29.09.2018 09:00","5427","5412"
"29.09.2018 09:00 - 29.09.2018 10:00","5737","5752"
"29.09.2018 10:00 - 29.09.2018 11:00","5918","5898"
"29.09.2018 11:00 - 29.09.2018 12:00","6020","6097"
"29.09.2018 12:00 - 29.09.2018 13:00","5993","6077"
"29.09.2018 13:00 - 29.09.2018 14:00","5703","5778"
"29.09.2018 14:00 - 29.09.2018 15:00","5364","5479"
"29.09.2018 15:00 - 29.09.2018 16:00","5195","5409"
"29.09.2018 16:00 - 29.09.2018 17:00","5176","5445"
"29.09.2018 17:00 - 29.09.2018 18:00","5362","5610"
"29.09.2018 18:00 - 29.09.2018 19:00","5790","6020"
"29.09.2018 19:00 - 29.09.2018 20:00","6011","6137"
"29.09.2018 20:00 - 29.09.2018 21:00","5692","5763"
"29.09.2018 21:00 - 29.09.2018 22:00","5241","5270"
"29.09.2018 22:00 - 29.09.2018 23:00","4891","4865"
"29.09.2018 23:00 - 30.09.2018 00:00","4515","4481"
"30.09.2018 00:00 - 30.09.2018 01:00","4195","4198"
"30.09.2018 01:00 - 30.09.2018 02:00","4025","3971"
"30.09.2018 02:00 - 30.09.2018 03:00","3905","3852"
"30.09.2018 03:00 - 30.09.2018 04:00","3854","3780"
"30.09.2018 04:00 - 30.09.2018 05:00","3874","3773"
"30.09.2018 05:00 - 30.09.2018 06:00","3974","3774"
"30.09.2018 06:00 - 30.09.2018 07:00","4028","3849"
"30.09.2018 07:00 - 30.09.2018 08:00","4322","4213"
"30.09.2018 08:00 - 30.09.2018 09:00","4759","4772"
"30.09.2018 09:00 - 30.09.2018 10:00","5169","5293"
"30.09.2018 10:00 - 30.09.2018 11:00","5500","5725"
"30.09.2018 11:00 - 30.09.2018 12:00","5649","5919"
"30.09.2018 12:00 - 30.09.2018 13:00","5520","5726"
"30.09.2018 13:00 - 30.09.2018 14:00","5101","5306"
"30.09.2018 14:00 - 30.09.2018 15:00","4805","5011"
"30.09.2018 15:00 - 30.09.2018 16:00","4707","4908"
"30.09.2018 16:00 - 30.09.2018 17:00","4756","5046"
"30.09.2018 17:00 - 30.09.2018 18:00","4986","5266"
"30.09.2018 18:00 - 30.09.2018 19:00","5524","5738"
"30.09.2018 19:00 - 30.09.2018 20:00","5825","5959"
"30.09.2018 20:00 - 30.09.2018 21:00","5625","5659"
"30.09.2018 21:00 - 30.09.2018 22:00","5225","5202"
"30.09.2018 22:00 - 30.09.2018 23:00","4835","4845"
"30.09.2018 23:00 - 01.10.2018 00:00","4414","4367"
"01.10.2018 00:00 - 01.10.2018 01:00","4084","4044"
"01.10.2018 01:00 - 01.10.2018 02:00","3904","3830"
"01.10.2018 02:00 - 01.10.2018 03:00","3804","3751"
"01.10.2018 03:00 - 01.10.2018 04:00","3824","3740"
"01.10.2018 04:00 - 01.10.2018 05:00","3934","3885"
"01.10.2018 05:00 - 01.10.2018 06:00","4323","4378"
"01.10.2018 06:00 - 01.10.2018 07:00","4900","4822"
"01.10.2018 07:00 - 01.10.2018 08:00","5412","5459"
"01.10.2018 08:00 - 01.10.2018 09:00","5797","5755"
"01.10.2018 09:00 - 01.10.2018 10:00","5959","5887"
"01.10.2018 10:00 - 01.10.2018 11:00","6066","5960"
"01.10.2018 11:00 - 01.10.2018 12:00","6167","6008"
"01.10.2018 12:00 - 01.10.2018 13:00","6173","5941"
"01.10.2018 13:00 - 01.10.2018 14:00","5977","5678"
"01.10.2018 14:00 - 01.10.2018 15:00","5693","5392"
